agno,codigo_bbdd,fecha_bbdd,grado,cod_reg,nom_reg,nalu_lect2m_reg,nalu_mate2m_reg,nalu_soc2m_reg,prom_lect2m_reg,prom_mate2m_reg
2015,final20160908v1,20160908,2m,2,REGIÓN DE ANTOFAGASTA,7071,7208,7162,243,260
2015,final20160908v1,20160908,2m,3,REGIÓN DE ATACAMA,3312,3365,3359,236,262
2015,final20160908v1,20160908,2m,4,REGIÓN DE COQUIMBO,8518,8576,8573,250,260
2015,final20160908v1,20160908,2m,5,REGIÓN DE VALPARAÍSO,19290,19638,19656,248,262
2015,final20160908v1,20160908,2m,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,10495,10673,10698,250,260
2015,final20160908v1,20160908,2m,7,REGIÓN DEL MAULE,11949,12156,12144,250,262
2015,final20160908v1,20160908,2m,8,REGIÓN DEL BIOBÍO,22741,23405,23274,245,260
2015,final20160908v1,20160908,2m,9,REGIÓN DE LA ARAUCANÍA,11530,11780,11743,243,262
2015,final20160908v1,20160908,2m,10,REGIÓN DE LOS LAGOS,9576,9997,9983,247,260
2015,final20160908v1,20160908,2m,11,REGIÓN DE AISÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,1067,1082,1083,245,262
2015,final20160908v1,20160908,2m,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,1742,1813,1806,241,260
2015,final20160908v1,20160908,2m,13,REGIÓN METROPOLITANA,74811,76367,76217,248,262
2015,final20160908v1,20160908,2m,14,REGIÓN DE LOS RÍOS,4440,4498,4474,252,260
2015,final20160908v1,20160908,2m,15,REGIÓN ARICA - PARINACOTA,2474,2479,2465,248,262
